Position
Time (Seconds),J1 (Degrees),J2 (Degrees),J3 (Degrees),J4 (Degrees),J5 (Degrees),J6 (Degrees)
5.325000,3.508447,-31.167219,60.621304,0.492981,61.167221,-36.634460
5.350000,3.565893,-31.212477,60.645031,0.484777,61.193592,-37.281738
5.375000,3.623421,-31.258911,60.669361,0.476427,61.220509,-37.935482
5.400000,3.681010,-31.306517,60.694256,0.467928,61.247986,-38.595623
5.425000,3.738635,-31.355347,60.719776,0.459298,61.276024,-39.262146
5.450000,3.796281,-31.405401,60.745899,0.450533,61.304638,-39.933929
5.475000,3.853928,-31.456678,60.772633,0.441609,61.333817,-40.613071
5.500000,3.911544,-31.509214,60.799995,0.432576,61.363575,-41.296398
5.525000,3.969123,-31.563023,60.827972,0.423372,61.393936,-41.988029
5.550000,4.026633,-31.618107,60.856590,0.414037,61.424870,-42.684837
5.575000,4.084053,-31.674498,60.885845,0.404554,61.456432,-43.388866
5.600000,4.141361,-31.732191,60.915733,0.394921,61.488586,-44.099041
5.625000,4.198532,-31.791212,60.946278,0.385156,61.521343,-44.814350
5.650000,4.255534,-31.851601,60.977470,0.375270,61.554752,-45.535801
5.675000,4.312355,-31.913311,61.009312,0.365213,61.588764,-46.265301
5.700000,4.368961,-31.976423,61.041813,0.355013,61.623436,-46.999893
5.725000,4.425326,-32.040890,61.074986,0.344673,61.658722,-47.741486
5.750000,4.481428,-32.106773,61.108822,0.334179,61.694660,-48.490097
5.775000,4.537233,-32.174057,61.143330,0.323550,61.731270,-49.244713
5.800000,4.592712,-32.242771,61.178505,0.312795,61.768509,-50.005360
5.825000,4.647842,-32.312908,61.214363,0.301874,61.806431,-50.772915
5.850000,4.702592,-32.384495,61.250896,0.290814,61.845013,-51.547375
5.875000,4.756933,-32.457531,61.288109,0.279603,61.884266,-52.328709
5.900000,4.810826,-32.532036,61.326008,0.268265,61.924198,-53.116016
5.925000,4.864245,-32.608025,61.364586,0.256791,61.964817,-53.910198
5.950000,4.917158,-32.685516,61.403858,0.245179,62.006126,-54.710308
5.975000,4.969534,-32.764484,61.443810,0.233408,62.048122,-55.519066
6.000000,5.021331,-32.844952,61.484447,0.221538,62.090820,-56.331974
6.025000,5.072531,-32.926952,61.525772,0.209490,62.134224,-57.153481
6.050000,5.123084,-33.010437,61.567768,0.197320,62.178314,-57.981777
6.075000,5.172960,-33.095459,61.610451,0.185011,62.223118,-58.816856
6.100000,5.222121,-33.182026,61.653831,0.172581,62.268635,-59.658760
6.125000,5.270530,-33.270130,61.697872,0.160032,62.314861,-60.506592
6.150000,5.318155,-33.359768,61.742611,0.147330,62.361813,-61.362926
6.175000,5.364951,-33.450943,61.788002,0.134512,62.409462,-62.225189
6.200000,5.410880,-33.543682,61.834080,0.121570,62.457851,-63.095097
6.225000,5.455904,-33.637947,61.880817,0.108507,62.506943,-63.971798
6.250000,5.499984,-33.733780,61.928219,0.095312,62.556782,-64.856110
6.275000,5.543076,-33.831146,61.976276,0.082009,62.607296,-65.747246
6.300000,5.585142,-33.930054,62.024982,0.068580,62.658550,-66.645988
6.325000,5.626135,-34.030537,62.074345,0.055041,62.710529,-67.551537
6.350000,5.666018,-34.132534,62.124336,0.041382,62.763245,-68.465530
6.375000,5.704734,-34.236107,62.174969,0.027646,62.816650,-69.384735
6.400000,5.742256,-34.341179,62.226219,0.013781,62.870785,-70.313194
6.425000,5.778526,-34.447765,62.278084,-0.000174,62.925610,-71.248489
6.450000,5.813507,-34.555901,62.330559,-0.014239,62.981155,-72.191429
6.475000,5.847148,-34.665535,62.383629,-0.028392,63.037415,-73.142014
6.500000,5.879400,-34.776661,62.437279,-0.042627,63.094357,-74.099518
6.525000,5.910127,-34.888939,62.491341,-0.056911,63.151833,-75.062469
6.550000,5.939214,-35.001965,62.545620,-0.071210,63.209602,-76.027847
6.575000,5.966627,-35.115707,62.600105,-0.085471,63.267689,-76.993393
6.600000,5.992360,-35.230167,62.654781,-0.099725,63.326080,-77.961418
6.625000,6.016399,-35.345299,62.709629,-0.113962,63.384750,-78.931160
6.650000,6.038720,-35.461071,62.764629,-0.128167,63.443680,-79.901894
6.675000,6.059317,-35.577469,62.819786,-0.142353,63.502865,-80.875168
6.700000,6.078168,-35.694439,62.875053,-0.156523,63.562294,-81.851006
6.725000,6.095259,-35.811962,62.930435,-0.170632,63.621948,-82.827103
6.750000,6.110577,-35.930012,62.985901,-0.184714,63.681801,-83.805763
6.775000,6.124103,-36.048542,63.041451,-0.198743,63.741840,-84.785515
6.800000,6.135829,-36.167526,63.097050,-0.212731,63.802063,-85.767883
6.825000,6.145741,-36.286926,63.152679,-0.226671,63.862453,-86.752129
6.850000,6.153823,-36.406742,63.208363,-0.240554,63.922977,-87.738251
6.875000,6.160059,-36.526894,63.264027,-0.254364,63.983627,-88.725487
6.900000,6.164450,-36.647350,63.319687,-0.268132,64.044365,-89.716202
6.925000,6.166972,-36.768108,63.375313,-0.281819,64.105217,-90.708054
6.950000,6.167614,-36.889118,63.430901,-0.295422,64.166138,-91.701057
6.975000,6.166371,-37.010323,63.486423,-0.308958,64.227097,-92.696800
7.000000,6.163227,-37.131733,63.541874,-0.322401,64.288109,-93.693726
7.025000,6.158182,-37.253277,63.597237,-0.335779,64.349113,-94.694168
7.050000,6.151213,-37.374889,63.652466,-0.349045,64.410103,-95.695038
7.075000,6.142319,-37.496586,63.707573,-0.362224,64.471077,-96.698692
7.100000,6.131494,-37.618313,63.762535,-0.375296,64.532021,-97.703568
7.125000,6.118727,-37.740025,63.817333,-0.388282,64.592850,-98.712029
7.150000,6.104011,-37.861668,63.871941,-0.401152,64.653603,-99.721703
